tabc
,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,Aug 19,SEPT 2019,Oct 19,Nov 19,Dec 19,Jan 20,Feb 20,Mar 20,APRI 2020,May 2020,June 2020,July 2020,AUGU 2020,SEPT 2020,Oct 20,Nov 20,Dec 20
Distilled Spirits,,,,,,,,,,,,,,,,,,,,,,,,
Total Gallons,"4,322,857","$8,009,879.00","$7,190,429.00","$7,444,768.00","$8,894,723.00","$9,351,020.00","$7,722,714.00","$8,822,306.00","$7,689,988.00","$7,311,636.00","$8,867,265.00","$9,037,078.00","$11,171,095.00","$7,970,569.00","$7,522,205.00","$8,872,646.00","$9,376,263.00","$9,663,561.00","$11,824,712.00","$7,872,931.00","$8,213,975.00","$10,192,169.00","$9,968,375.00","$9,708,376.00"
Per Capita Consumption,0.1443,"3,337,450","2,996,012","3,101,987","3,706,135","3,896,258","3,217,798","3,675,961","3,204,162","3,046,515","3,694,694","3,765,449","4,654,623","3,321,070","3,134,252","3,696,936","3,906,776","4,026,484","4,926,963","3,280,388","3,422,490","4,246,737","4,153,490","4,045,157"
Tax Rate Per Gallon,$2.40,0.1114,0.1,0.1036,0.1238,0.1301,0.1074,0.1227,0.1070,0.1017,0.1234,0.1257,0.1554,0.1109,0.1047,0.1234,0.1305,0.1344,0.1645,0.1095,0.1137,0.1411,0.1380,0.1344
Wine,,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40
Total Tax Collections,"$1,852,541.00",,,,,,,,,,,,,,,,,,,,,,,
Total Gallons(Estimated),"5,959,540","$1,227,862.00","$1,265,015.00","$1,296,366.00","$1,371,677.00","$1,433,327.00","$1,360,317.00","$1,344,241.00","$1,434,813.00","$1,194,825.00","$1,462,099.00","$1,615,103.00","$2,005,532.00","$1,297,139.00","$1,365,920.00","$1,586,728.00","$1,468,629.00","$1,540,013.00","$1,704,240.00","$1,341,620.00","$1,472,149.00","$1,497,094.00","$1,602,634.00","$1,610,710.00"
Per Capita Consumption(Estimated),0.1990,"4,511,379","4,587,127","4,682,710","4,936,914","5,108,334","4,875,374","4,859,768","4,988,884","4,286,491","5,089,297","5,451,990","6,320,419","4,602,558","4,673,983","5,769,815","5,343,889","5,518,415","6,024,774","4,856,719","5,254,879","5,212,995","5,436,048","5,355,395"
Tax Rate Per Gallon(Estimated),$0.31,0.1506,0.1532,0.1564,0.1648,0.1706,0.1628,0.1623,0.1666,0.1431,0.1699,0.1820,0.2110,0.1537,0.1561,0.1927,0.1784,0.1843,0.2012,0.1622,0.1746,0.1732,0.1806,0.1779
    Low Wine,$0.20,$0.27,$0.28,$0.28,$0.28,$0.28,$0.28,$0.28,$0.29,$0.28,$0.29,$0.30,$0.32,$0.28,$0.29,$0.28,$0.27,$0.28,$0.28,$0.28,$0.28,$0.29,$0.29,$0.30
    High Wine,$0.41,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20
    Sparkling Wine,$0.52,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41,$0.41
Beer,,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52,$0.52
Total Tax Collections,"$8,762,591.00",,,,,,,,,,,,,,,,,,,,,,,
Total Gallons,"45,273,477","$7,091,532.00","$6,894,871.00","$8,435,387.00","$9,156,484.00","$10,274,137.00","$9,421,177.00","$9,762,111.00","$10,254,087.00","$8,335,112.00","$9,342,138.00","$8,212,110.00","$9,362,398.00","$7,575,395.00","$6,202,528.00","$9,796,500.00","$8,974,688.00","$10,820,038.00","$11,176,632.00","$10,220,802.00","$9,585,342.00","$10,101,813.00","$9,447,011.00","$8,841,075.00"
Per Capita Consumption,1.5117,"36,639,655","35,623,571","43,582,920","47,308,595","53,083,147","48,676,179","50,437,674","52,979,555","43,064,831","48,267,810","42,429,320","48,372,486","39,139,619","32,046,459","50,615,351","46,369,314","55,903,641","57,746,047","52,807,583","49,524,366","52,192,805","48,809,654","45,678,979"
Tax Rate Per Gallon,$0.19,1.2234,1.1895,1.4553,1.5797,1.7725,1.6254,1.6842,1.7690,1.4380,1.6117,1.4168,1.6152,1.3069,1.0701,1.6901,1.5483,1.8667,1.9282,1.7633,1.6451,1.7338,1.6214,1.5174
Ale,,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19,$0.19
Total Tax Collections,"$1,232,425.00",,,,,,,,,,,,,,,,,,,,,,,
Total Gallons,"6,224,369","$1,395,665.00","$1,041,311.00","$1,210,944.00","$1,238,904.00","$1,362,154.00","$1,217,319.00","$1,279,406.00","$1,360,839.00","$1,196,320.00","$1,366,012.00","$1,246,612.00","$1,345,826.00","$1,156,624.00","$853,167.00","$1,453,433.00","$1,246,186.00","$1,264,578.00","$1,356,835.00","$1,226,334.00","$1,159,362.00","$1,240,138.00","$1,185,428.00","$1,170,719.00"
Per Capita Consumption,0.2078,"7,048,813","5,259,146","6,115,879","6,257,091","6,879,566","6,148,076","6,461,646","6,872,924","6,042,020","6,899,051","6,296,020","6,797,101","5,841,535","4,308,924","7,340,571","6,293,869","6,386,758","6,852,702","6,193,606","5,855,364","6,263,323","5,987,010","5,912,722"
Tax Rate Per Gallon,$0.20,0.2354,0.1756,0.2042,0.2089,0.2297,0.2053,0.2158,0.2295,0.2017,0.2304,0.2102,0.2270,0.1951,0.1439,0.2451,0.2102,0.2133,0.2288,0.2068,0.1945,0.2081,0.1989,0.1964
Tax Rate Per Gallon,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20
,,,,,$0.20,,,,,,,,,,,,,,,,,,,
